computer_time_utc,serial_line
2026-04-27T08:24:50.401712+00:00,"overnight,695140301,2221165,298600,0,111,123.1,286.9,3845,0,0.000,0.000,0.60,0,0,333,0.38,5.10,0.0037"
2026-04-27T08:25:50.433786+00:00,"overnight,695140301,2281197,298600,0,115,122.3,285.7,3864,0,0.000,0.000,0.60,0,0,300,0.41,5.11,0.0036"
2026-04-27T08:26:50.465624+00:00,"overnight,695140301,2341229,298600,0,109,121.7,284.8,3794,0,0.000,0.000,0.60,0,0,337,0.35,5.61,0.0036"
2026-04-27T08:27:50.497641+00:00,"overnight,695140301,2401261,298600,0,130,123.1,287.0,3820,0,0.000,0.000,0.60,0,0,303,0.28,5.36,0.0038"
2026-04-27T08:28:50.529668+00:00,"overnight,695140301,2461293,298600,0,110,119.2,280.7,3898,0,0.000,0.000,0.60,0,0,319,0.51,5.45,0.0036"
2026-04-27T08:29:50.561474+00:00,"overnight,695140301,2521325,298600,0,128,118.6,279.8,3880,0,0.000,0.000,0.60,0,0,314,0.44,5.21,0.0038"
2026-04-27T08:31:50.625531+00:00,"overnight,695140301,2581357,298600,0,125,119.6,281.4,3952,0,0.000,0.000,0.60,0,0,287,0.30,4.62,0.0038"
2026-04-27T08:31:50.627032+00:00,"overnight,695140301,2641389,298600,0,119,122.2,285.5,3853,0,0.000,0.000,0.60,0,0,320,0.41,5.52,0.0036"
2026-04-27T08:32:50.657289+00:00,"overnight,695140301,2701421,298600,0,145,124.7,289.5,3862,0,0.000,0.000,0.60,0,0,304,0.43,4.84,0.0038"
2026-04-27T08:34:50.721410+00:00,"overnight,695140301,2761453,298600,0,119,120.4,282.7,3840,0,0.000,0.000,0.60,0,0,285,0.46,5.79,0.0038"
2026-04-27T08:34:50.722998+00:00,"overnight,695140301,2821485,298600,0,126,121.2,283.9,3814,0,0.000,0.000,0.60,0,0,258,0.46,4.84,0.0039"
2026-04-27T08:35:50.753259+00:00,"overnight,695140301,2881517,298600,0,126,124.5,289.2,3834,0,0.000,0.000,0.60,0,0,253,0.29,5.11,0.0038"
2026-04-27T08:36:50.785273+00:00,"overnight,695140301,2941549,298600,0,117,122.9,286.7,3872,0,0.000,0.000,0.60,0,0,271,0.32,5.34,0.0036"
2026-04-27T08:37:50.817387+00:00,"overnight,695140301,3001581,298600,0,145,126.0,291.6,3883,0,0.000,0.000,0.60,0,0,334,0.43,5.12,0.0040"
2026-04-27T08:38:50.849268+00:00,"overnight,695140301,3061613,298600,0,119,120.0,282.1,3898,0,0.000,0.000,0.60,0,0,281,0.16,4.82,0.0038"
2026-04-27T08:39:50.881200+00:00,"overnight,695140301,3121645,298600,0,116,120.7,283.2,3876,0,0.000,0.000,0.60,0,0,278,0.37,5.27,0.0037"
2026-04-27T08:41:50.945375+00:00,"overnight,695140301,3181677,298600,0,136,125.7,291.1,3852,0,0.000,0.000,0.60,0,0,245,0.43,5.19,0.0038"
2026-04-27T08:41:50.945756+00:00,"overnight,695140301,3241709,298600,0,125,121.4,284.3,3832,0,0.000,0.000,0.60,0,0,307,0.51,5.63,0.0037"
